LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000026283-0001-4,M AMIN NASSIRI/OMAR NOORZAY,,18235 FRIAR STREET,TARZANA,91335-7034,18235 FRIAR 91335,,,,,,3,08/01/2003,12/31/2004,
0000026331-0001-5,JACK R BERGSTROM,,5518 S BROADWAY,LOS ANGELES,90037-,5518 BROADWAY 90037,,,,,,0,07/01/1992,12/31/2001,
0000026392-0001-1,RASHID RAZA,,6535 HASKELL AVENUE #115,VAN NUYS,91406-,6535 HASKELL 91406,,,,,,0,06/01/1992,08/31/1995,
0000026665-0001-9,MUNKI KIM/CHUNOK KIM,,8834 RESEDA BLVD,NORTHRIDGE,91324-4039,8834 RESEDA 91324-4039,,,,,,12,08/01/1992,02/28/1998,
0000026717-0001-8,ANN GRACE DUMILON,,8129 NOBLE AVENUE,PANORAMA CITY,91402-,8129 NOBLE 91402,,,,,,0,06/12/2003,12/31/2003,
0000026749-0002-6,MICHELLE TEPPER,,5038 PARKWAY CALABASAS #800,CALABASAS,91302-2567,5038 PARKWAY CALABASAS 91302-2567,,,,,,0,01/01/2014,12/31/2020,
0000026846-0001-2,JUNG SUN KWACK,,2735 W TEMPLE STREET,LOS ANGELES,90026-,2735 TEMPLE 90026,,,,,,13,07/25/1992,07/01/1995,
0000027113-0001-8,BASKIN-ROBBINS USA CO /C,,2522 E 37TH STREET,VERNON,90058-,2522 37TH 90058,,,,,,0,05/15/1992,08/31/1999,
0000027209-0001-0,JIRAIR TOROSYAN,,12057 MAGNOLIA BLVD,N HOLLYWOOD,91607-,12057 MAGNOLIA 91607,,,,,,0,05/01/1994,12/31/1998,
0000027213-0002-4,ERIC STEVENS,,2929 WAVERLY DRIVE UNIT #110,LOS ANGELES,90039-2072,2929 WAVERLY 90039-2072,,,,,,4,08/29/2000,12/15/2004,
0000027232-0001-9,VICENTE S PEREZ,,3470 WILSHIRE BLVD #515,LOS ANGELES,90010-,3470 WILSHIRE 90010,,,,,,10,07/16/2001,12/31/2001,
0000027235-0001-2,JESUS A TORPOCO MD,,19231 VICTORY BLVD #452,RESEDA,91335-6361,19231 VICTORY 91335-6361,,,,,,3,04/01/1975,09/30/2008,
0000027257-0001-9,PAMELA RAE TRIPP,,10727 WHITE OAK AVENUE #100,GRANADA HILLS,91344-4636,10727 WHITE OAK 91344-4636,,,,,,12,,09/09/2004,
0000027292-0001-1,SANFORD BERMSTEIN/EDUARDO URENDA,,1617 EL CENTRO AVENUE #11,LOS ANGELES,90028-,1617 EL CENTRO 90028,,,,,,13,01/31/1992,04/30/1996,
0000027313-0001-4,PATTY MARIE TAMES,,13638 VENTURA BLVD,SHERMAN OAKS,91423-3700,13638 VENTURA 91423-3700,,,,,,5,08/01/2003,12/31/2003,
0000027380-0001-6,RAFAEL A ALVAREZ,,1251 IROLO STREET,LOS ANGELES,90006-,1251 IROLO 90006,,,,,,0,07/02/1992,12/31/1995,
0000027444-0001-8,ARMINDA HERNANDEZ,,6301 W SUNSET BLVD #109,LOS ANGELES,90028-,6301 SUNSET 90028,,,,,,13,10/01/1992,12/31/1997,
0000027463-0001-1,OGANES NALBANDYAN,,404 W 7TH STREET #1012,LOS ANGELES,90014-,404 7TH 90014,,,,,,0,08/01/1992,12/31/1997,
0000027529-0001-1,BRENDA SEGOVIANO,,15019 ROSCOE BLVD,PANORAMA CITY,91402-,15019 ROSCOE 91402,,,,,,0,06/01/2003,05/18/2004,
0000027559-0001-2,FARHANG OURMAZDI,,5028 RUBIO AVENUE,ENCINO,91436-1123,5028 RUBIO 91436-1123,,,,,,5,03/19/1989,12/31/2006,
0000027566-0001-2,RINA CORTEZ,,8814 S FIGUEROA STREET,LOS ANGELES,90003-,8814 FIGUEROA 90003,,,,,,0,07/03/2000,12/31/2001,
0000027586-0001-0,WILLIAM LINDENBERG,,856 W HARVARD PLACE,ONTARIO,91762-,856 HARVARD 91762,,,,,,0,06/01/2000,11/01/2004,
0000027602-0001-1,MD S HOSSAIN/REYNALDO SANCHEZ,,4701 E 3RD STREET,LOS ANGELES,90022-1616,4701 3RD 90022-1616,,,,,,0,07/07/2000,12/31/2003,
0000027615-0001-8,AZAT CHATALYAN,,4212 SANTA MONICA BLVD,LOS ANGELES,90029-,4212 SANTA MONICA 90029,,,,,,13,09/01/1992,12/31/1995,
0000027633-0001-6,RAYMOND L WILCOX,,7615 BALDWIN PLACE,WHITTIER,90602-,7615 BALDWIN 90602,,,,,,0,07/01/2000,07/01/2001,
0000027640-0001-6,EUNICE EUNJUNG LEE,,3251 W 6TH STREET #450,LOS ANGELES,90020-,3251 6TH 90020,,,,,,0,08/01/2000,06/19/2001,
0000027747-0001-6,TEB & ASSOCIATES INC,,6109 S WESTERN AVENUE,LOS ANGELES,90047-,6109 WESTERN 90047,,,,,,0,07/01/2000,12/31/2001,
0000027802-0001-7,JOSEPHINE DARKWAH,,2723 VAN BUREN PLACE #206,LOS ANGELES,90007-2133,2723 VAN BUREN 90007,,,,,,8,07/10/2000,12/31/2002,
0000027829-0001-6,HUGO E SALAZAR,,3338 CATTARAUGUS AVENUE,CULVER CITY,90232-,3338 CATTARAUGUS 90232,,,,,,0,07/01/1992,12/31/2000,
0000027834-0001-7,GAETANO VACCARO PHD,,1315 LINCOLN BLVD SUITE #250,SANTA MONICA,90401-1751,1315 LINCOLN 90401-1751,,,,,,0,01/01/2000,12/31/2011,
0000027979-0001-2,RICHARD W TENUIS,,68715 TACHEVAH DRIVE,CATHEDRAL CITY,92234-3892,68715 TACHEVAH 92234-3892,,,,,,0,05/10/1993,06/01/2009,
0000027986-0001-2,LONNIE CRUEL,,5142 NILAND STREET,LYNWOOD,90262-,5142 NILAND 90262,,,,,,0,01/07/1998,11/01/2004,
0000028033-0001-4,AT 17 FILMS INC,,2340 S FAIRFAX AVENUE,LOS ANGELES,90016-,2340 FAIRFAX 90016,,,,,,10,06/16/2000,10/02/2000,
0000028159-0001-7,YOLY M ESTRADA,,12455 RALSTON AVENUE,SYLMAR,91342-,12455 RALSTON 91342,,,,,,0,10/01/1993,12/31/2003,
0000028309-0001-5,BRENDA J PAGE,,5042 W SLAUSON AVENUE,LOS ANGELES,90056-,5042 SLAUSON 90056,,,,,,0,11/04/1992,12/31/2002,
0000028352-0001-1,JEFFREY LEAL,,6896 ORAN CIRCLE,BUENA PARK,90621-3304,6896 ORAN 90621-3304,,,,,,0,06/25/2003,11/01/2004,
0000028780-0001-6,MOO SUNG LIM,,1053 W 23RD STREET,LOS ANGELES,90007-1804,1053 23RD 90007,,,,,,1,07/01/1992,08/14/2000,
0000028870-0001-1,JOON MO LIM,,449 W IMPERIAL HIGHWAY,LOS ANGELES,90061-1429,449 IMPERIAL 90061,,,,,,15,07/01/2000,12/31/2002,
0000029276-0001-6,MARK ANDERS,,2566 N BRIGHTON STREET,BURBANK,91504-2613,2566 BRIGHTON 91504,,,,,,0,06/25/2003,12/31/2004,
0000029578-0001-0,KATHLEEN SACCHI,,5656 CAHUENGA BLVD,N HOLLYWOOD,91601-2103,5656 CAHUENGA 91601-2103,,,,,,2,10/01/1992,12/31/1995,
0000029710-0001-8,MARY M KNIGHT,,815 S GAFFEY STREET,SAN PEDRO,90731-3612,815 GAFFEY 90731-3612,,,,,,15,07/01/1975,09/01/2013,
0000030165-0001-1,ROTHMAN ENTERPRISES INC,,20430 CORISCO STREET,CHATSWORTH,91311-6121,20430 CORISCO 91311-6121,,,,,,12,06/01/1975,12/31/2008,
0000030691-0001-4,MANUELA FIGEROA,,9414 MOONBEAM AVENUE #19,PANORAMA CITY,91402-1355,9414 MOONBEAM 91402,,,,,,7,09/15/2003,12/31/2004,
0000030699-0001-1,NIXON VILCHEZ,,3016 WEST BLVD,LOS ANGELES,90016-,3016 WEST 90016,,,,,,10,07/07/2000,12/31/2001,
0000030951-0004-9,3M COMPANY,,639 N ROSEMEAD BLVD,PASADENA,91107-2147,639 ROSEMEAD 91107-2147,,,,,,0,05/16/2013,05/01/2017,
0000031399-0001-3,WILLIS Q HUYNH,,12650 SHERMAN WAY #2,N HOLLYWOOD,91605-5248,12650 SHERMAN 91605-5248,,,,,,2,05/01/2003,12/31/2003,
0000031476-0001-1,TIER TECHNOLOGIES INC,,1350 TREAT BLVD #250,WALNUT CREEK,94596-,1350 TREAT 94596,,,,,,0,02/21/2000,08/24/2002,
0000031555-0001-7,MARIA AGUIERRE,,3628 W 3RD STREET,LOS ANGELES,90020-,3628 3RD 90020,,,,,,0,08/12/1992,12/31/2002,
0000031623-0001-5,DIANA HERNANDEZ TAFFOLLA,,14260 DYER STREET,SYLMAR,91342-4133,14260 DYER 91342,,,,,,7,06/14/2003,12/31/2006,
0000031691-0001-1,"EMPIRE TOUR & TRAVEL, INC",,4221 WILSHIRE BLVD #170 8,LOS ANGELES,90010-,4221 WILSHIRE 90010,,,,,,0,01/01/2000,05/01/2004,
0000031720-0001-0,KAI L POOLE,,1144 ABBOT KINNEY BLVD,VENICE,90291-,1144 ABBOT KINNEY 90291,,,,,,11,08/15/1992,12/31/2000,
0000031803-0001-4,RAFAEL A TINOCO,,17837 SHERMAN WAY #108,RESEDA,91335-,17837 SHERMAN 91335,,,,,,0,07/23/1996,12/31/1996,
0000031857-0001-1,XIAOLI YANG,,306 BOYD STREET #A,LOS ANGELES,90013-,306 BOYD 90013,,,,,,0,07/15/2000,09/15/2003,
0000031903-0001-2,DOMINIC F MURTARI,,6853 SYLVIA AVENUE,RESEDA,91335-3741,6853 SYLVIA 91335-3741,,,,,,3,08/17/1992,12/31/2005,
0000031941-0001-8,BENICE N SHAMOON,,17547 VENTURA BLVD #307A,ENCINO,91316-,17547 VENTURA 91316,,,,,,0,10/01/1995,01/01/1996,
0000031964-0001-9,TIMOTHY L DROKE,,5737 FAIRHAVEN AVENUE,WOODLAND HILLS,91367-3928,5737 FAIRHAVEN 91367,,,,,,3,03/01/1992,01/01/2004,
0000032024-0001-8,CALKO ENTERPRISE INC,,1925 S LOS ANGELES STREET,LOS ANGELES,90011-,1925 LOS ANGELES 90011,,,,,,0,09/15/2000,12/31/2002,
0000032034-0001-1,VIDAL FLORES,,6906 BEVIS AVENUE,VAN NUYS,91405-,6906 BEVIS 91405,,,,,,0,08/05/1992,07/17/1998,
0000032239-0001-1,TRINA D COX,,13737 FAIRFORD AVENUE,NORWALK,90650-,13737 FAIRFORD 90650,,,,,,0,08/01/1992,12/31/1997,
0000032294-0004-4,COUNTY OF LOS ANGELES,,6170 SYLMAR AVENUE,VAN NUYS,91401-,6170 SYLMAR 91401,,,,,,0,08/01/1990,06/30/2012,
0000032294-0028-1,COUNTY OF LOS ANGELES,,501 W TEMPLE STREET,LOS ANGELES,90012-,501 TEMPLE 90012,,,,,,0,08/01/1990,01/31/1997,
0000032296-0001-9,HOMEGROCER.COM INC,,1344 W FOOTHILL BLVD,AZUSA,91702-,1344 FOOTHILL 91702,,,,,,0,05/01/2000,12/10/2003,
0000032328-0001-1,FELIPE VASQUEZ DOMINGUES,,81626 SIROCCO AVENUE,INDIO,92201-,81626 SIROCCO 92201,,,,,,0,02/16/2000,07/01/2003,
0000032349-0001-2,RICARDO FLETES,,6715 11TH AVENUE,LOS ANGELES,90043-4729,6715 11TH 90043-4729,,,,,,8,02/01/1993,08/30/2002,
0000032532-0001-3,THE LATEST THING INC,,970 MONUMENT STREET #108,PCFIC PALSADS,90272-,970 MONUMENT 90272,,,,,,11,01/01/1993,12/07/1999,
0000032578-0001-5,COLIN GITTENS,,796 MAIN STREET,VENICE,90291-,796 MAIN 90291,,,,,,11,02/02/1993,12/31/1999,
0000032623-0001-2,ISABEL G GARAVITO,,19015 PARTHENIA STREET,NORTHRIDGE,91324-,19015 PARTHENIA 91324,,,,,,12,03/20/1998,12/30/1998,
0000032689-0001-1,BOGHOS P KIROUKIAN,,11700 MAGNOLIA BLVD,N HOLLYWOOD,91607-,11700 MAGNOLIA 91607,,,,,,0,08/24/1992,10/01/1998,
0000032763-0001-5,MICHAEL A DORIAN,,14546 HESBY STREET,SHERMAN OAKS,91403-1711,14546 HESBY 91403-1711,,,,,,4,05/01/2001,04/30/2019,
0000032920-0001-3,KIMBERLY REEVES,,7254 HOLLYWOOD BLVD #3,LOS ANGELES,90046-,7254 HOLLYWOOD 90046,,,,,,0,06/08/2003,06/09/2003,
0000033021-0001-1,LEVI KUSHNIR,,4550 W PICO BLVD,LOS ANGELES,90019-,4550 PICO 90019,,,,,,10,02/01/1989,12/31/1996,
0000033048-0001-1,EDWARD G ECKERT,,23131 WELBY WAY,WEST HILLS,91307-3413,23131 WELBY 91307-3413,,,,,,12,06/16/2003,01/30/2013,
0000033118-0001-8,HOWARD W RAY/ROGELIO LOPEZ,,2407 JAMES M WOOD BLVD #307,LOS ANGELES,90006-2044,2407 JAMES M WOOD 90006-2044,,,,,,1,06/23/2000,12/31/2002,
0000033129-0001-6,ULISES VASQUEZ,,608 E 59TH STREET,LOS ANGELES,90001-,608 59TH 90001,,,,,,0,07/01/2000,12/31/2000,
0000033135-0001-1,EDWARD MIRZOYAN,,12107 SYLVAN STREET,N HOLLYWOOD,91606-3201,12107 SYLVAN 91606,,,,,,2,06/20/2003,08/30/2004,
0000033153-0001-0,FARAH ZARGHAMI,,6516 VAN NUYS BLVD,VAN NUYS,91401-,6516 VAN NUYS 91401,,,,,,0,12/01/1992,12/31/1992,
0000033177-0001-5,PETER J SCHWARTZ,,17725 PARTHENIA STREET,NORTHRIDGE,91325-3143,17725 PARTHENIA 91325-3143,,,,,,12,09/10/1992,12/31/2005,
